Year,Month,Bristol Bay mean,Bristol Bay < 50m mean
1970,1,8.0128,8.0608
1970,2,8.0309,8.0583
1970,3,8.0302,8.0545
1970,4,8.0438,8.0582
1970,5,8.0724,8.0992
1970,6,8.0551,8.2117
1970,7,8.0013,8.1637
1970,8,7.9469,8.0704
1970,9,7.895,7.9903
1970,10,7.888,8.0042
1970,11,7.9078,8.0301
1970,12,7.9559,8.0577
1971,1,8.0243,8.0693
1971,2,8.0471,8.0693
1971,3,8.0508,8.0535
1971,4,8.0459,8.0455
1971,5,8.0491,8.0758
1971,6,8.0742,8.2117
1971,7,8.0281,8.1775
1971,8,7.9604,8.0768
1971,9,7.9128,8.0124
1971,10,7.9064,8.0191
1971,11,7.9256,8.0364
1971,12,7.9545,8.0585
1972,1,8.0028,8.0644
1972,2,8.0375,8.0705
1972,3,8.0397,8.0593
1972,4,8.0264,8.0277
1972,5,8.0211,8.0588
1972,6,8.0393,8.1902
1972,7,7.9805,8.152
1972,8,7.9103,8.0245
1972,9,7.8794,7.9507
1972,10,7.8909,7.9923
1972,11,7.9269,8.0384
1972,12,7.998,8.0757
1973,1,8.0568,8.098
1973,2,8.0666,8.0912
1973,3,8.0676,8.083
1973,4,8.069,8.0771
1973,5,8.0956,8.1531
1973,6,8.0831,8.1952
1973,7,8.0254,8.1194
1973,8,7.9701,8.0267
1973,9,7.9499,7.9941
1973,10,7.9627,8.0272
1973,11,7.9842,8.0554
1973,12,8.0149,8.0819
1974,1,8.0551,8.0921
1974,2,8.0735,8.0992
1974,3,8.0729,8.0678
1974,4,8.0623,8.0652
1974,5,8.0734,8.1333
1974,6,8.0614,8.1755
1974,7,8.0151,8.122
1974,8,7.9833,8.0541
1974,9,7.954,7.9987
1974,10,7.9451,8.0013
1974,11,7.9658,8.0494
1974,12,8.0098,8.082
1975,1,8.0578,8.0885
1975,2,8.0647,8.0799
1975,3,8.0681,8.0704
1975,4,8.0679,8.0625
1975,5,8.0693,8.0814
1975,6,8.0703,8.1465
1975,7,8.0379,8.1303
1975,8,7.9922,8.033
1975,9,7.9753,8.0056
1975,10,7.9741,8.0197
1975,11,8.0034,8.0718
1975,12,8.0409,8.0794
1976,1,8.0607,8.0855
1976,2,8.067,8.0853
1976,3,8.0717,8.0729
1976,4,8.0701,8.0636
1976,5,8.0654,8.0775
1976,6,8.0661,8.1252
1976,7,8.0476,8.1366
1976,8,8.0148,8.0902
1976,9,7.9859,8.0243
1976,10,7.9766,8.0177
1976,11,8.0042,8.0626
1976,12,8.0391,8.0725
1977,1,8.0469,8.0715
1977,2,8.0501,8.0718
1977,3,8.0637,8.0828
1977,4,8.0733,8.0868
1977,5,8.093,8.1352
1977,6,8.0809,8.1663
1977,7,8.0461,8.1223
1977,8,8.0093,8.0599
1977,9,7.9904,8.0304
1977,10,7.9797,8.0234
1977,11,8.0148,8.0697
1977,12,8.0622,8.0946
1978,1,8.0588,8.0808
1978,2,8.065,8.0865
1978,3,8.0619,8.0802
1978,4,8.0628,8.0773
1978,5,8.0838,8.1724
1978,6,8.0459,8.1485
1978,7,7.9979,8.0683
1978,8,7.9593,7.9994
1978,9,7.9476,7.9961
1978,10,7.9464,8.0327
1978,11,7.9989,8.0735
1978,12,8.0318,8.0879
1979,1,8.0423,8.0884
1979,2,8.0571,8.1026
1979,3,8.0552,8.0924
1979,4,8.0645,8.0961
1979,5,8.1046,8.1879
1979,6,8.0527,8.1371
1979,7,7.9879,8.0437
1979,8,7.9509,7.9844
1979,9,7.9372,7.972
1979,10,7.9551,8.0468
1979,11,8.0014,8.083
1979,12,8.0555,8.115
1980,1,8.0799,8.1245
1980,2,8.0881,8.1219
1980,3,8.0746,8.1029
1980,4,8.0603,8.0795
1980,5,8.0994,8.1669
1980,6,8.0607,8.14
1980,7,7.9968,8.0305
1980,8,7.9713,7.9932
1980,9,7.9538,7.9917
1980,10,7.9491,8.0271
1980,11,7.9694,8.056
1980,12,8.0239,8.0879
1981,1,8.0412,8.0925
1981,2,8.0469,8.0899
1981,3,8.0423,8.0742
1981,4,8.0453,8.0675
1981,5,8.0735,8.1564
1981,6,8.0161,8.1246
1981,7,7.9733,8.0557
1981,8,7.9461,8.0041
1981,9,7.9263,7.9839
1981,10,7.93,8.0089
1981,11,7.9858,8.0614
1981,12,8.0375,8.0798
1982,1,8.0505,8.0816
1982,2,8.0543,8.0764
1982,3,8.0566,8.0697
1982,4,8.0595,8.0684
1982,5,8.083,8.1136
1982,6,8.1074,8.2024
1982,7,8.0357,8.1249
1982,8,7.9814,8.0307
1982,9,7.9545,7.9911
1982,10,7.9601,8.0325
1982,11,7.9902,8.0575
1982,12,8.0259,8.0709
1983,1,8.0552,8.0904
1983,2,8.0547,8.0847
1983,3,8.0508,8.0713
1983,4,8.0564,8.0934
1983,5,8.0846,8.1678
1983,6,8.0336,8.1057
1983,7,7.9926,8.0444
1983,8,7.9636,8.0018
1983,9,7.949,7.9909
1983,10,7.9608,8.05
1983,11,7.984,8.0687
1983,12,8.0063,8.0745
1984,1,8.022,8.0827
1984,2,8.0481,8.1017
1984,3,8.0549,8.0846
1984,4,8.0631,8.0855
1984,5,8.1032,8.1735
1984,6,8.0745,8.1796
1984,7,8.02,8.1013
1984,8,7.9883,8.043
1984,9,7.9707,8.0222
1984,10,7.946,7.9901
1984,11,7.9644,8.0534
1984,12,8.0029,8.061
1985,1,8.0225,8.0591
1985,2,8.0431,8.076
1985,3,8.0542,8.0803
1985,4,8.0642,8.0752
1985,5,8.0702,8.0892
1985,6,8.0727,8.1399
1985,7,8.0375,8.1327
1985,8,8.0079,8.0932
1985,9,7.973,8.0332
1985,10,7.9717,8.0498
1985,11,7.9882,8.0697
1985,12,7.9972,8.0627
1986,1,8.0321,8.0778
1986,2,8.0399,8.075
1986,3,8.0484,8.0767
1986,4,8.0502,8.076
1986,5,8.0731,8.1347
1986,6,8.0437,8.1279
1986,7,7.9841,8.046
1986,8,7.95,7.9939
1986,9,7.9345,7.9872
1986,10,7.922,7.9926
1986,11,7.9288,8.0321
1986,12,7.9853,8.0576
1987,1,8.0226,8.0745
1987,2,8.0361,8.0707
1987,3,8.0364,8.0639
1987,4,8.0466,8.0644
1987,5,8.0883,8.1579
1987,6,8.0565,8.1569
1987,7,7.9917,8.072
1987,8,7.9491,8.004
1987,9,7.9284,7.9778
1987,10,7.9355,8.0107
1987,11,7.9844,8.0584
1987,12,8.0317,8.0876
1988,1,8.0344,8.0757
1988,2,8.0382,8.0755
1988,3,8.0497,8.0776
1988,4,8.0534,8.0736
1988,5,8.0734,8.1223
1988,6,8.0681,8.1599
1988,7,8.0249,8.1204
1988,8,7.9851,8.0501
1988,9,7.9639,8.0154
1988,10,7.9579,8.0348
1988,11,7.9737,8.0629
1988,12,8.0348,8.0838
1989,1,8.0471,8.0719
1989,2,8.0457,8.0617
1989,3,8.0431,8.049
1989,4,8.043,8.0408
1989,5,8.0875,8.143
1989,6,8.0605,8.1453
1989,7,7.9949,8.0473
1989,8,7.961,7.9912
1989,9,7.9501,7.989
1989,10,7.9606,8.0266
1989,11,7.9906,8.0646
1989,12,8.0228,8.0781
1990,1,8.0402,8.0827
1990,2,8.0466,8.0809
1990,3,8.0464,8.0722
1990,4,8.0394,8.0618
1990,5,8.0774,8.1533
1990,6,8.0438,8.1318
1990,7,7.9864,8.0483
1990,8,7.9578,8.0042
1990,9,7.9463,7.9972
1990,10,7.9514,8.0427
1990,11,7.9813,8.07
1990,12,8.0215,8.0771
1991,1,8.0389,8.0836
1991,2,8.0545,8.0832
1991,3,8.0484,8.0704
1991,4,8.0445,8.0575
1991,5,8.0825,8.1346
1991,6,8.0552,8.1453
1991,7,7.9823,8.0303
1991,8,7.9517,7.974
1991,9,7.9374,7.9756
1991,10,7.9393,8.022
1991,11,7.9522,8.0593
1991,12,7.9917,8.0782
1992,1,8.0295,8.0806
1992,2,8.0429,8.0721
1992,3,8.0464,8.0627
1992,4,8.0462,8.0547
1992,5,8.0595,8.1033
1992,6,8.0322,8.107
1992,7,7.9829,8.0391
1992,8,7.951,7.9921
1992,9,7.936,7.9798
1992,10,7.9392,8.0131
1992,11,7.9732,8.0525
1992,12,8.0225,8.0683
1993,1,8.0315,8.0626
1993,2,8.0405,8.0596
1993,3,8.0325,8.0481
1993,4,8.0306,8.0415
1993,5,8.0543,8.1409
1993,6,8.0106,8.1134
1993,7,7.9592,8.0324
1993,8,7.9223,7.9702
1993,9,7.9117,7.9729
1993,10,7.9251,8.0233
1993,11,7.9708,8.0593
1993,12,8.0053,8.0781
1994,1,8.0288,8.0851
1994,2,8.0339,8.0803
1994,3,8.0432,8.0823
1994,4,8.0456,8.0781
1994,5,8.0595,8.1406
1994,6,8.0208,8.1047
1994,7,7.9758,8.0349
1994,8,7.9422,7.9941
1994,9,7.9225,7.9743
1994,10,7.9291,8.0398
1994,11,8.0056,8.0757
1994,12,8.0342,8.0827
1995,1,8.0343,8.0756
1995,2,8.041,8.0703
1995,3,8.0412,8.0632
1995,4,8.0429,8.0547
1995,5,8.0515,8.0909
1995,6,8.0376,8.1283
1995,7,7.9929,8.0775
1995,8,7.963,8.0148
1995,9,7.9458,7.9843
1995,10,7.936,7.9911
1995,11,7.9503,8.031
1995,12,7.9785,8.0485
1996,1,7.9932,8.0479
1996,2,8.0094,8.0475
1996,3,8.0174,8.037
1996,4,8.0247,8.0357
1996,5,8.0468,8.1126
1996,6,8.0381,8.1631
1996,7,7.9663,8.0479
1996,8,7.9235,7.9539
1996,9,7.9073,7.9351
1996,10,7.9103,7.9812
1996,11,7.9369,8.0242
1996,12,7.9698,8.043
1997,1,8.0112,8.0513
1997,2,8.0264,8.0444
1997,3,8.0288,8.0354
1997,4,8.0283,8.0247
1997,5,8.0409,8.0698
1997,6,8.065,8.188
1997,7,8.023,8.1566
1997,8,7.9775,8.0638
1997,9,7.9404,7.9945
1997,10,7.9256,7.9958
1997,11,7.9378,8.028
1997,12,7.9697,8.0413
1998,1,8.0059,8.0449
1998,2,8.0183,8.0316
1998,3,8.0189,8.0203
1998,4,8.0206,8.0155
1998,5,8.0484,8.0655
1998,6,8.0657,8.1998
1998,7,7.9934,8.0833
1998,8,7.9435,8.0063
1998,9,7.9086,7.9499
1998,10,7.8951,7.9554
1998,11,7.9069,7.9957
1998,12,7.9742,8.0385
1999,1,7.9988,8.042
1999,2,8.0235,8.039
1999,3,8.0254,8.0258
1999,4,8.0216,8.0189
1999,5,8.0225,8.0312
1999,6,8.0353,8.1476
1999,7,8.0045,8.1624
1999,8,7.9519,8.0595
1999,9,7.9163,7.9748
1999,10,7.9031,7.9507
1999,11,7.9248,8.0074
1999,12,7.9527,8.0286
2000,1,7.9939,8.0137
2000,2,7.9996,8.0036
2000,3,8.0026,8.0061
2000,4,8.0085,8.0072
2000,5,8.0339,8.0741
2000,6,8.0455,8.2009
2000,7,7.98,8.0966
2000,8,7.9388,8.0129
2000,9,7.9132,7.9697
2000,10,7.8945,7.967
2000,11,7.9187,7.9996
2000,12,7.9531,8.021
2001,1,7.9739,8.0335
2001,2,7.9956,8.0299
2001,3,8.0046,8.0302
2001,4,8.0176,8.0391
2001,5,8.0463,8.0922
2001,6,8.041,8.1595
2001,7,7.9786,8.0658
2001,8,7.9424,8.0019
2001,9,7.9223,7.966
2001,10,7.9161,7.9737
2001,11,7.9418,8.0225
2001,12,7.9803,8.0363
2002,1,8.014,8.0398
2002,2,8.02,8.0345
2002,3,8.0168,8.0248
2002,4,8.0127,8.0138
2002,5,8.0343,8.0701
2002,6,8.0493,8.1798
2002,7,7.9638,8.0717
2002,8,7.9231,8.0001
2002,9,7.8979,7.954
2002,10,7.9009,7.981
2002,11,7.9091,8.0002
2002,12,7.9209,8.0081
2003,1,7.9646,8.0254
2003,2,7.975,8.0122
2003,3,7.9948,8.0207
2003,4,8.0161,8.0266
2003,5,8.0408,8.0994
2003,6,8.0321,8.1779
2003,7,7.9539,8.0459
2003,8,7.9156,7.9722
2003,9,7.8877,7.925
2003,10,7.8807,7.9277
2003,11,7.889,7.9606
2003,12,7.9578,8.0112
2004,1,7.9908,8.0212
2004,2,8.0026,8.0143
2004,3,8.0046,8.0101
2004,4,8.0148,8.0113
2004,5,8.0342,8.0914
2004,6,8.016,8.1643
2004,7,7.9622,8.0692
2004,8,7.9279,8.0068
2004,9,7.8968,7.9481
2004,10,7.8925,7.9542
2004,11,7.9417,8.0102
2004,12,7.9599,8.0166
2005,1,7.9779,8.0256
2005,2,7.9869,8.0274
2005,3,7.9908,8.0174
2005,4,8.0107,8.0302
2005,5,8.0368,8.1038
2005,6,8.0362,8.1689
2005,7,7.9644,8.0561
2005,8,7.9157,7.9686
2005,9,7.8959,7.9307
2005,10,7.8999,7.9584
2005,11,7.9296,8.0234
2005,12,7.954,8.0358
2006,1,7.9811,8.0364
2006,2,8.0072,8.0338
2006,3,8.006,8.0208
2006,4,8.0034,8.0095
2006,5,8.0234,8.0463
2006,6,8.0393,8.1776
2006,7,7.9721,8.1137
2006,8,7.9138,8.0032
2006,9,7.8877,7.9435
2006,10,7.8767,7.9271
2006,11,7.8858,7.9807
2006,12,7.8995,8.0009
2007,1,7.9346,8.0113
2007,2,7.9738,7.9983
2007,3,7.9859,7.9925
2007,4,7.9845,7.9778
2007,5,7.9838,7.9963
2007,6,8.0026,8.1373
2007,7,7.9603,8.1167
2007,8,7.9154,8.0341
2007,9,7.8932,7.9901
2007,10,7.8844,7.9556
2007,11,7.8911,7.9876
2007,12,7.9069,8.008
2008,1,7.9493,8.0293
2008,2,7.9763,8.014
2008,3,7.9825,7.9969
2008,4,7.9796,7.9818
2008,5,7.9807,7.978
2008,6,8.0159,8.1103
2008,7,7.9738,8.1231
2008,8,7.9015,7.9895
2008,9,7.8565,7.908
2008,10,7.8576,7.919
2008,11,7.8726,7.9541
2008,12,7.9092,7.9895
2009,1,7.947,7.9996
2009,2,7.9713,7.9913
2009,3,7.9811,7.9783
2009,4,7.9791,7.9649
2009,5,7.9766,7.9722
2009,6,7.9996,8.1138
2009,7,7.9756,8.1126
2009,8,7.9125,8
2009,9,7.8685,7.894
2009,10,7.8619,7.899
2009,11,7.8841,7.9585
2009,12,7.9294,7.9849
2010,1,7.9551,7.9954
2010,2,7.9867,7.9986
2010,3,7.9943,7.9844
2010,4,7.9885,7.9656
2010,5,7.9782,7.9709
2010,6,7.9951,8.1016
2010,7,7.9546,8.0964
2010,8,7.8966,7.9755
2010,9,7.866,7.9019
2010,10,7.8566,7.8784
2010,11,7.8733,7.9303
2010,12,7.918,7.9837
2011,1,7.9581,7.999
2011,2,7.9812,7.9947
2011,3,7.9813,7.9753
2011,4,7.982,7.9655
2011,5,7.9882,7.987
2011,6,8.0408,8.1665
2011,7,7.9868,8.1259
2011,8,7.9085,7.9639
2011,9,7.8767,7.8983
2011,10,7.8673,7.8917
2011,11,7.9096,7.9747
2011,12,7.9386,7.9998
2012,1,7.967,8.0039
2012,2,7.9921,8.0027
2012,3,7.9933,7.9911
2012,4,7.9876,7.9756
2012,5,7.9803,7.9833
2012,6,8.0166,8.1329
2012,7,7.9715,8.1037
2012,8,7.8988,7.9824
2012,9,7.8732,7.9259
2012,10,7.8707,7.9567
2012,11,7.8782,7.9848
2012,12,7.8942,7.9928
2013,1,7.9061,7.9777
2013,2,7.9308,7.9657
2013,3,7.9476,7.9582
2013,4,7.96,7.9522
2013,5,7.9622,7.9811
2013,6,7.9753,8.0991
2013,7,7.9185,8.0621
2013,8,7.8719,7.9877
2013,9,7.8429,7.9177
2013,10,7.8521,7.9307
2013,11,7.8666,7.9472
2013,12,7.8732,7.9673
2014,1,7.8884,7.9794
2014,2,7.9181,7.9851
2014,3,7.9488,7.9933
2014,4,7.963,7.9896
2014,5,7.9821,8.0534
2014,6,7.9559,8.1073
2014,7,7.8947,8.0074
2014,8,7.864,7.9427
2014,9,7.8409,7.91
2014,10,7.8338,7.9265
2014,11,7.8547,7.9426
2014,12,7.8737,7.9453
2015,1,7.9226,7.9703
2015,2,7.9721,7.9894
2015,3,7.9786,7.9847
2015,4,7.9883,7.9854
2015,5,8.0094,8.0576
2015,6,8.0064,8.1543
2015,7,7.9445,8.042
2015,8,7.8955,7.946
2015,9,7.866,7.8901
2015,10,7.8572,7.8869
2015,11,7.8778,7.9558
2015,12,7.9136,7.9896
2016,1,7.9516,8.0022
2016,2,7.9673,8.0016
2016,3,7.978,7.9993
2016,4,7.9884,8.0012
2016,5,8.0232,8.1188
2016,6,7.9668,8.0793
2016,7,7.9134,7.9813
2016,8,7.8787,7.9192
2016,9,7.864,7.8992
2016,10,7.874,7.9502
2016,11,7.8977,8.0004
2016,12,7.9405,8.0235
2017,1,7.9662,8.0193
2017,2,7.9893,8.0229
2017,3,7.995,8.0075
2017,4,7.9942,7.9888
2017,5,8.0173,8.0711
2017,6,8.0069,8.1288
2017,7,7.9624,8.0874
2017,8,7.9174,7.9935
2017,9,7.894,7.9554
2017,10,7.8942,7.9622
2017,11,7.8965,7.9651
2017,12,7.9183,7.9854
2018,1,7.9289,8.0025
2018,2,7.9407,8.0007
2018,3,7.951,7.9921
2018,4,7.9576,7.9858
2018,5,8.0201,8.1142
2018,6,7.986,8.1507
2018,7,7.901,8.0064
2018,8,7.859,7.9299
2018,9,7.8257,7.8703
2018,10,7.8205,7.8855
2018,11,7.8414,7.9536
2018,12,7.8833,8.0007
2019,1,7.9276,8.0188
2019,2,7.9383,7.9985
2019,3,7.9494,7.9845
2019,4,7.9648,7.995
2019,5,8.0006,8.1315
2019,6,7.9449,8.0856
2019,7,7.8866,7.9746
2019,8,7.8636,7.9315
2019,9,7.8521,7.9174
2019,10,7.8475,7.9224
2019,11,7.845,7.9682
2019,12,7.8682,7.9976
2020,1,7.9334,8.0408
2020,2,7.9595,8.0342
2020,3,7.9639,8.0148
2020,4,7.9679,7.9996
2020,5,7.9735,8.0446
2020,6,7.9627,8.1253
2020,7,7.9129,8.0318
2020,8,7.8834,7.976
2020,9,7.8684,7.958
2020,10,7.8454,7.9409
2020,11,7.8686,7.9773
2020,12,7.9087,8.0007
2021,1,7.9285,8.0009
2021,2,7.9456,7.9928
2021,3,7.9565,7.9887
2021,4,7.9544,7.9789
2021,5,7.9829,8.0491
2021,6,7.9791,8.1246
2021,7,7.9068,8.028
2021,8,7.8543,7.9282
2021,9,7.8261,7.8784
2021,10,7.8401,7.9273
2021,11,7.863,7.9863
2021,12,7.9098,8.0034