"","year","month","mean.ice"
"1","1970","Jan",0.212557446558996
"2","1970","Feb",0.28761655242219
"3","1970","Mar",0.229237596343937
"4","1970","Apr",0.0648892755628478
"5","1971","Jan",0.218313222673329
"6","1971","Feb",0.477851857325049
"7","1971","Mar",0.519883045369564
"8","1971","Apr",0.408516147951716
"9","1972","Jan",0.146695380546656
"10","1972","Feb",0.283333803921128
"11","1972","Mar",0.457070463654793
"12","1972","Apr",0.40542466475812
"13","1973","Jan",0.250242458483084
"14","1973","Feb",0.308582972517998
"15","1973","Mar",0.285178636529684
"16","1973","Apr",0.135061038053759
"17","1974","Jan",0.14439658490215
"18","1974","Feb",0.419520051446716
"19","1974","Mar",0.443085567178273
"20","1974","Apr",0.164388725225912
"21","1975","Jan",0.208327884764429
"22","1975","Feb",0.349389857686358
"23","1975","Mar",0.446201622629426
"24","1975","Apr",0.359752349914456
"25","1976","Jan",0.251913934375621
"26","1976","Feb",0.387370210327104
"27","1976","Mar",0.54706726846449
"28","1976","Apr",0.497417192364861
"29","1977","Jan",0.131487525157189
"30","1977","Feb",0.0631412438995039
"31","1977","Mar",0.116171200286284
"32","1977","Apr",0.150580799787616
"33","1978","Jan",0.112525614621159
"34","1978","Feb",0.100945609633892
"35","1978","Mar",0.139708682823225
"36","1978","Apr",0.069652654357471
"37","1979","Jan",0.0054965742305204
"38","1979","Feb",0.145031214076794
"39","1979","Mar",0.104556554827252
"40","1979","Apr",0.000878480962952674
"41","1980","Jan",0.305545405567125
"42","1980","Feb",0.357367025942565
"43","1980","Mar",0.217312989174333
"44","1980","Apr",0.021500769905278
"45","1981","Jan",0.134181898878955
"46","1981","Feb",0.170923092843898
"47","1981","Mar",0.077638071178997
"48","1981","Apr",0.00268384848236708
"49","1982","Jan",0.143760357092651
"50","1982","Feb",0.174010543101956
"51","1982","Mar",0.209648180601855
"52","1982","Apr",0.259910261719852
"53","1983","Jan",0.214344153635825
"54","1983","Feb",0.207613131693559
"55","1983","Mar",0.114231071174231
"56","1983","Apr",0.0170980675185236
"57","1984","Jan",0.0535008076122087
"58","1984","Feb",0.277904936029578
"59","1984","Mar",0.1999027020751
"60","1984","Apr",0.091737373651304
"61","1985","Jan",0.00279906570367536
"62","1985","Feb",0.0898088730899352
"63","1985","Mar",0.168819656148824
"64","1985","Apr",0.250836892407167
"65","1986","Jan",0.112612706161145
"66","1986","Feb",0.139782447063406
"67","1986","Mar",0.234515626084623
"68","1986","Apr",0.0996860309428822
"69","1987","Jan",0.0693392088753346
"70","1987","Feb",0.119395671298183
"71","1987","Mar",0.0810247289497547
"72","1987","Apr",0.0386426896691514
"73","1988","Jan",0.0884994177237031
"74","1988","Feb",0.135107226789316
"75","1988","Mar",0.275859572036412
"76","1988","Apr",0.131610623173389
"77","1989","Jan",0.228211042710354
"78","1989","Feb",0.117905377958515
"79","1989","Mar",0.203742435500588
"80","1989","Apr",0.0740871951555856
"81","1990","Jan",0.134602277991326
"82","1990","Feb",0.281525092996521
"83","1990","Mar",0.313646267277367
"84","1990","Apr",0.055566591620581
"85","1991","Jan",0.136603124249795
"86","1991","Feb",0.347919634104347
"87","1991","Mar",0.234907634335385
"88","1991","Apr",0.111651564416223
"89","1992","Jan",0.171896948937911
"90","1992","Feb",0.287440102410005
"91","1992","Mar",0.339255978561613
"92","1992","Apr",0.156771549457902
"93","1993","Jan",0.139950903432423
"94","1993","Feb",0.226237516540841
"95","1993","Mar",0.113469611258973
"96","1993","Apr",0.00148276280232675
"97","1994","Jan",0.124914662011949
"98","1994","Feb",0.102205293402168
"99","1994","Mar",0.269609716404443
"100","1994","Apr",0.13984297156817
"101","1995","Jan",0.166237820178103
"102","1995","Feb",0.222255158240701
"103","1995","Mar",0.269799748638584
"104","1995","Apr",0.132741307085735
"105","1996","Jan",0.131586122657716
"106","1996","Feb",0.21663130041625
"107","1996","Mar",0.0959830205523171
"108","1996","Apr",0.0393884405332599
"109","1997","Jan",0.223022029635118
"110","1997","Feb",0.232949379395083
"111","1997","Mar",0.273525508257068
"112","1997","Apr",0.0764211363447867
"113","1998","Jan",0.280305934026863
"114","1998","Feb",0.336171750673022
"115","1998","Mar",0.0807903891354477
"116","1998","Apr",0.00410708501394952
"117","1999","Jan",0.168146898958284
"118","1999","Feb",0.331982197518756
"119","1999","Mar",0.400700102037752
"120","1999","Apr",0.292614930054437
"121","2000","Jan",0.462808506471702
"122","2000","Feb",0.227396326134509
"123","2000","Mar",0.0693125717886026
"124","2000","Apr",0.066793624561113
"125","2001","Jan",0.023204282528944
"126","2001","Feb",0.00384493475011557
"127","2001","Mar",0.055888093026384
"128","2001","Apr",0.0536255868646516
"129","2002","Jan",0.20938419148588
"130","2002","Feb",0.296773257748056
"131","2002","Mar",0.109121601588763
"132","2002","Apr",0.0106965153413388
"133","2003","Jan",0.0748333488158775
"134","2003","Feb",0.069443480548183
"135","2003","Mar",0.0914524566466735
"136","2003","Apr",0.028300669994893
"137","2004","Jan",0.162502183296688
"138","2004","Feb",0.143586489244475
"139","2004","Mar",0.118862404177216
"140","2004","Apr",0.0705028345103258
"141","2005","Jan",0.0514791910809818
"142","2005","Feb",0.090658370240566
"143","2005","Mar",0.0445774360956184
"144","2005","Apr",0.080942505989724
"145","2006","Jan",0.20601198183909
"146","2006","Feb",0.165810751146514
"147","2006","Mar",0.196139149666894
"148","2006","Apr",0.146944250767299
"149","2007","Jan",0.197016404728419
"150","2007","Feb",0.0764377035269356
"151","2007","Mar",0.375465148819895
"152","2007","Apr",0.114268863963954
"153","2008","Jan",0.139712062808589
"154","2008","Feb",0.306657525829283
"155","2008","Mar",0.396272163594468
"156","2008","Apr",0.256803915066933
"157","2009","Jan",0.23250549800106
"158","2009","Feb",0.295304697889411
"159","2009","Mar",0.267590026289745
"160","2009","Apr",0.316187981245653
"161","2010","Jan",0.128463208822648
"162","2010","Feb",0.222838879961848
"163","2010","Mar",0.3804351983873
"164","2010","Apr",0.245951289935239
"165","2011","Jan",0.170519280913677
"166","2011","Feb",0.214887122890946
"167","2011","Mar",0.25097865915082
"168","2011","Apr",0.140066225730997
"169","2012","Jan",0.274684913288573
"170","2012","Feb",0.283844866267795
"171","2012","Mar",0.461527527044343
"172","2012","Apr",0.334242899854102
"173","2013","Jan",0.160296453883927
"174","2013","Feb",0.283524328070257
"175","2013","Mar",0.300350455626404
"176","2013","Apr",0.159360443118269
"177","2014","Jan",0.0140356431624643
"178","2014","Feb",0.0631207188070319
"179","2014","Mar",0.0962802666227329
"180","2014","Apr",0.011831349805661
"181","2015","Jan",0.028108133419264
"182","2015","Feb",0.0935534065131378
"183","2015","Mar",0.0529505354871552
"184","2015","Apr",0.0298630288256201
"185","2016","Jan",0.0101959622756095
"186","2016","Feb",0.0120120476760758
"187","2016","Mar",0.0213334868990557
"188","2016","Apr",0.00433765955958635
"189","2017","Jan",0.0929469530769493
"190","2017","Feb",0.190179307286918
"191","2017","Mar",0.290721787992813
"192","2017","Apr",0.0689018072459995
"193","2018","Jan",0.0329991473703502
"194","2018","Feb",0.0460121435619868
"195","2018","Mar",0.0348916239426279
"196","2018","Apr",0.00605966578193018
"197","2019","Jan",0.0848577549431459
"198","2019","Feb",0.0112097302175265
"199","2019","Mar",0.00689298103371793
"200","2019","Apr",0.00580655216290472
"201","2020","Jan",0.154324720260104
"202","2020","Feb",0.251982637394194
"203","2020","Mar",0.246475818130315
"204","2020","Apr",0.0784285849580871
"205","2021","Jan",0.092580828859185
"206","2021","Feb",0.0971993249229361
"207","2021","Mar",0.132379613625987
"208","2021","Apr",0.0771370627784517
"209","2022","Jan",0.263451600293747
"210","2022","Feb",0.237804666271489
"211","2022","Mar",0.117772424442821
"212","2022","Apr",0.0346660531694235
"213","2023","Jan",0.113040289632307
"214","2023","Feb",0.131232290517692
"215","2023","Mar",0.134444651949651
"216","2023","Apr",0.107927477429024
